timestamp,point_name,value,quality
2026-07-10T00:00:00,AHU-1 SAT,55.07,good
2026-07-10T00:00:00,AHU-1 RAT,72.85,good
2026-07-10T00:00:00,AHU-1 MAT,64.74,good
2026-07-10T00:00:00,AHU-1 DAT-SP,55,good
2026-07-10T00:00:00,AHU-1 SF-CMD,0,good
2026-07-10T00:00:00,AHU-1 SF-STS,0,good
2026-07-10T00:00:00,AHU-1 SF-VFD-SPD,50.0,good
2026-07-10T00:00:00,AHU-1 OA-DMP-CMD,50.0,good
2026-07-10T00:00:00,AHU-1 CHW-VLV-CMD,50.0,good
2026-07-10T00:00:00,AHU-1 SAF-ALM,0,good
2026-07-10T00:00:00,AHU-2 SAT,55.12,good
2026-07-10T00:00:00,AHU-2 RAT,72.2,good
2026-07-10T00:00:00,AHU-2 MAT,64.39,good
2026-07-10T00:00:00,AHU-2 DAT-SP,55,good
2026-07-10T00:00:00,AHU-2 SF-CMD,0,good
2026-07-10T00:00:00,AHU-2 SF-STS,0,good
2026-07-10T00:00:00,AHU-2 SF-VFD-SPD,50.0,good
2026-07-10T00:00:00,AHU-2 OA-DMP-CMD,50.0,good
2026-07-10T00:00:00,AHU-2 HW-VLV-CMD,50.0,good
2026-07-10T00:00:00,AHU-2 SMK-ALM,0,good
2026-07-10T00:00:00,RTU-1 SAT,54.87,good
2026-07-10T00:00:00,RTU-1 RAT,72.23,good
2026-07-10T00:00:00,RTU-1 CLG-SP,72,good
2026-07-10T00:00:00,RTU-1 SF-CMD,0,good
2026-07-10T00:00:00,RTU-1 SF-STS,0,good
2026-07-10T00:00:00,RTU-1 HTG-EN,0,good
2026-07-10T00:00:00,RTU-1 CMP-STS,0,good
2026-07-10T00:00:00,RTU-1 FLT-ALM,0,good
2026-07-10T00:00:00,CHLR-1 CHWS,41.95,good
2026-07-10T00:00:00,CHLR-1 CHWR,55.6,good
2026-07-10T00:00:00,CHLR-1 CHW-DP,11.87,good
2026-07-10T00:00:00,CHLR-1 ENABLE,0,good
2026-07-10T00:00:00,CHLR-1 RUN-STS,0,good
2026-07-10T00:00:00,CHLR-1 ALM,0,good
2026-07-10T00:00:00,CHLR-1 LWT-SP,72,good
2026-07-10T00:00:00,CHLR-1 KW,75.54,good
2026-07-10T00:00:00,BLR-1 HWS,167.89,good
2026-07-10T00:00:00,BLR-1 HWR,149.12,good
2026-07-10T00:00:00,BLR-1 HWS-SP,72,good
2026-07-10T00:00:00,BLR-1 ENABLE,0,good
2026-07-10T00:00:00,BLR-1 RUN-STS,0,good
2026-07-10T00:00:00,BLR-1 ALM,0,good
2026-07-10T00:00:00,BLR-1 MOD-CMD,50.0,good
2026-07-10T00:00:00,BLR-1 GAS-PRES,7.44,good
2026-07-10T00:00:00,CT-1 CWS,81.86,good
2026-07-10T00:00:00,CT-1 CWR,90.52,good
2026-07-10T00:00:00,CT-1 FAN-CMD,0,good
2026-07-10T00:00:00,CT-1 FAN-STS,0,good
2026-07-10T00:00:00,CT-1 FAN-SPD,50.0,good
2026-07-10T00:00:00,CT-1 BASIN-LVL,50.59,good
2026-07-10T00:00:00,CT-1 ALM,0,good
2026-07-10T00:00:00,PUMP-CHW-1 CMD,0,good
2026-07-10T00:00:00,PUMP-CHW-1 STS,0,good
2026-07-10T00:00:00,PUMP-CHW-1 SPD,50.0,good
2026-07-10T00:00:00,PUMP-CHW-1 DP,12.07,good
2026-07-10T00:00:00,PUMP-CHW-2 CMD,0,good
2026-07-10T00:00:00,PUMP-CHW-2 STS,0,good
2026-07-10T00:00:00,PUMP-CHW-2 SPD,50.0,good
2026-07-10T00:00:00,PUMP-CHW-2 DP,11.8,good
2026-07-10T00:00:00,PUMP-HW-1 CMD,0,good
